Telugu,Tamil,Tamil_tokens,Telugu_tokens
“ఈ బంధువులందరూ యుగం యొక్క అవతారం యొక్క ప్రతినిధులు కాళి త్యాగాలు మతపరమైన ఆచారాలు వేదాల జ్ఞానం మరియు దయను నాశనం చేసేవారు ఎందుకంటే వారు వేద మతం యొక్క అన్ని సూత్రాలను ఉల్లంఘించారు అవి మనస్సు అనారోగ్యం వృద్ధాప్యం మత సూత్రాలను నాశనం చేయడం విచారం విలపించడం మరియు భయం కాశీ యొక్క ఈ వారసులు కాశీ రాజ్యంలో తిరుగుతూ ప్రజలందరికీ బాధ కలిగిస్తారు అలాంటి వ్యక్తులు సమయం యొక్క ప్రభావాలతో మోసపోతారు వారి స్వభావంలో చాలా చంచలమైనవారు తీవ్రమైన కోరికలతో నిండి ఉంటారు అపారమైన పాపాత్మకమైనవారు గర్వంగా మరియు క్రూరంగా తమ సొంత తండ్రులకు మరియు తల్లులకు కూడా అలాగే రెండుసార్లు జన్మించినవారు ఆధ్యాత్మికంగా ప్రారంభించినవారు మంచి ప్రవర్తనను కలిగి ఉండరు సరైన సూత్రాలను పాటించకుండా మరియు ఎల్లప్పుడూ తక్కువ తరగతుల సేవలో ఉంటారు ”నాప్,வெற்று வார்த்தைகள் மற்றும் மதங்கள் போன்ற இந்த வீழ்ந்த ஆத்மாக்கள் அவர்களுக்கு வாழ்வாதாரமாக சேவை செய்கின்றன வேத ஞானத்தின் போதனைகள் அவர்களின் தொழில் அவர்கள் வாக்குறுதிகளை நிறைவேற்றுவதில் இருந்து விழுந்துவிட்டு மது மற்றும் இறைச்சி உள்ளிட்ட பிற அருவருப்பான பொருட்களை விற்கிறார்கள் அவர்கள் இயற்கையால் கொடூரமானவர்கள் மற்றும் அவர்களின் வயிறு மற்றும் பாலினத்தை திருப்திப்படுத்துவதில் தீவிரமானவர்கள் இந்த காரணத்திற்காக அவர் பெண்களுக்காக ஏங்குகிறார் எப்போதும் குடிப்பார் ‟நேப் எக்ஸ்என்யூஎம்எக்ஸ்,"['வெற்று', 'வார்த்தைகள்', 'மற்றும்', 'மதங்கள்', 'போன்ற', 'இந்த', 'வீழ்ந்த', 'ஆத்மாக்கள்', 'அவர்களுக்கு', 'வாழ்வாதாரமாக', 'சேவை', 'செய்கின்றன', 'வேத', 'ஞானத்தின்', 'போதனைகள்', 'அவர்களின்', 'தொழில்', 'அவர்கள்', 'வாக்குறுதிகளை', 'நிறைவேற்றுவதில்', 'இருந்து', 'விழுந்துவிட்டு', 'மது', 'மற்றும்', 'இறைச்சி', 'உள்ளிட்ட', 'பிற', 'அருவருப்பான', 'பொருட்களை', 'விற்கிறார்கள்', 'அவர்கள்', 'இயற்கையால்', 'கொடூரமானவர்கள்', 'மற்றும்', 'அவர்களின்', 'வயிறு', 'மற்றும்', 'பாலினத்தை', 'திருப்திப்படுத்துவதில்', 'தீவிரமானவர்கள்', 'இந்த', 'காரணத்திற்காக', 'அவர்', 'பெண்களுக்காக', 'ஏங்குகிறார்', 'எப்போதும்', 'குடிப்பார்', '‟நேப்', 'எக்ஸ்என்யூஎம்எக்ஸ்']","['“ఈ', 'బంధువులందరూ', 'యుగం', 'యొక్క', 'అవతారం', 'యొక్క', 'ప్రతినిధులు', 'కాళి', 'త్యాగాలు', 'మతపరమైన', 'ఆచారాలు', 'వేదాల', 'జ్ఞానం', 'మరియు', 'దయను', 'నాశనం', 'చేసేవారు', 'ఎందుకంటే', 'వారు', 'వేద', 'మతం', 'యొక్క', 'అన్ని', 'సూత్రాలను', 'ఉల్లంఘించారు', 'అవి', 'మనస్సు', 'అనారోగ్యం', 'వృద్ధాప్యం', 'మత', 'సూత్రాలను', 'నాశనం', 'చేయడం', 'విచారం', 'విలపించడం', 'మరియు', 'భయం', 'కాశీ', 'యొక్క', 'ఈ', 'వారసులు', 'కాశీ', 'రాజ్యంలో', 'తిరుగుతూ', 'ప్రజలందరికీ', 'బాధ', 'కలిగిస్తారు', 'అలాంటి', 'వ్యక్తులు', 'సమయం', 'యొక్క', 'ప్రభావాలతో', 'మోసపోతారు', 'వారి', 'స్వభావంలో', 'చాలా', 'చంచలమైనవారు', 'తీవ్రమైన', 'కోరికలతో', 'నిండి', 'ఉంటారు', 'అపారమైన', 'పాపాత్మకమైనవారు', 'గర్వంగా', 'మరియు', 'క్రూరంగా', 'తమ', 'సొంత', 'తండ్రులకు', 'మరియు', 'తల్లులకు', 'కూడా', 'అలాగే', 'రెండుసార్లు', 'జన్మించినవారు', 'ఆధ్యాత్మికంగా', 'ప్రారంభించినవారు', 'మంచి', 'ప్రవర్తనను', 'కలిగి', 'ఉండరు', 'సరైన', 'సూత్రాలను', 'పాటించకుండా', 'మరియు', 'ఎల్లప్పుడూ', 'తక్కువ', 'తరగతుల', 'సేవలో', 'ఉంటారు', '”నాప్']"
నేను నిజంగా మీకు ఇష్టం,நான் உன்னை மிகவும் விரும்புகிறேன்,"['நான்', 'உன்னை', 'மிகவும்', 'விரும்புகிறேன்']","['నేను', 'నిజంగా', 'మీకు', 'ఇష్టం']"
మేము ప్రారంభం కావాలి,நாம் தொடங்க வேண்டும்,"['நாம்', 'தொடங்க', 'வேண்டும்']","['మేము', 'ప్రారంభం', 'కావాలి']"
కానీ కొన్ని సాధ్యం శుభవార్త ఉంది,ஆனால் சில சாத்தியமான நல்ல செய்தி உள்ளது,"['ஆனால்', 'சில', 'சாத்தியமான', 'நல்ல', 'செய்தி', 'உள்ளது']","['కానీ', 'కొన్ని', 'సాధ్యం', 'శుభవార్త', 'ఉంది']"
మీ స్వంత ఎక్స్పెవెన్టిన్ చేయండి,உங்கள் சொந்த  ஐ உருவாக்குங்கள்,"['உங்கள்', 'சொந்த', 'ஐ', 'உருவாக்குங்கள்']","['మీ', 'స్వంత', 'ఎక్స్పెవెన్టిన్', 'చేయండి']"
బైబిలు ఇలా చెబుతోంది,பைபிள் கூறுகிறது,"['பைபிள்', 'கூறுகிறது']","['బైబిలు', 'ఇలా', 'చెబుతోంది']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
ఇప్పుడే మేము మళ్ళీ చేశాం,எங்களால் முடிந்தது,"['எங்களால்', 'முடிந்தது']","['ఇప్పుడే', 'మేము', 'మళ్ళీ', 'చేశాం']"
జూలై   వద్ద  ఉదయం,ஜூலை   இல்  மீது,"['ஜூலை', 'இல்', 'மீது']","['జూలై', 'వద్ద', 'ఉదయం']"
ప్రేక్షకులు,பார்வையாளர்கள்,['பார்வையாளர்கள்'],['ప్రేక్షకులు']
